,avg_nighttime_flow,ks_flow_up,ks_flow_down,ks_flow_ml_up,ks_flow_ml_down,ks_flow_ml,ks_occupancy_up,ks_occupancy_down,ks_occupancy_ml_up,ks_occupancy_ml_down,ks_occupancy_ml,Type,y
771150,6.0,,0.0009137765599866648,,1.4434641905651822e-44,1.6188636261592282e-35,,0.00046676589861970356,,5.415950550882715e-53,3.1254746451778834e-56,HV,-1
771155,2.72,0.0009137765599866648,0.4916898698540652,2.0306071725849707e-18,1.1751744523287492e-27,2.4183748761022484e-24,0.00046676589861970356,0.3706474470171066,1.6188636261592282e-35,6.0386087815401604e-24,1.3014479285069932e-32,HV,-1
771157,3.04,0.4916898698540652,,4.1407391555186358e-19,,5.165007853947324e-22,0.3706474470171066,,1.087429621777175e-40,,3.841945597167904e-32,HV,-1
775404,0.92,,0.8304634168517532,,3.841945597167904e-32,4.786653114517815e-34,,0.3706474470171066,,3.131214759135169e-41,8.926402876821863e-42,HV,-1
771147,1.16,0.8304634168517532,0.07105129403332416,4.3682858711461576e-33,1.4326704453390092e-38,9.357404620757031e-31,0.3706474470171066,0.19127733096650482,3.7390849302645935e-40,5.327908475744656e-44,1.4326704453390092e-38,HV,-1
771153,1.68,0.07105129403332416,,8.936182712091501e-23,,4.3682858711461576e-33,0.19127733096650482,,1.4527324837068053e-33,,1.087429621777175e-40,HV,-1
762408,0.48,,0.5585594327069068,,4.321870695403196e-89,1.0898737981738669e-83,,1.1590699874557621e-07,,4.2529401493385786e-63,1.1087457832104336e-61,HV,-1
765508,0.64,0.5585594327069068,0.7667067650024223,3.100286222933406e-80,9.396684070010982e-100,1.8492851139729247e-85,1.1590699874557621e-07,0.007668141618886344,2.3477252423484396e-86,9.673899487102443e-97,2.9289359748596516e-87,HV,-1
762435,1.4,0.7667067650024223,0.003215407740347846,6.753592644361314e-92,9.476686605101574e-129,4.027109006544094e-107,0.007668141618886344,7.681152510188974e-05,4.350203988701025e-81,4.027109006544094e-107,1.8492851139729247e-85,HV,-1
762449,0.48,0.003215407740347846,0.057064223622223874,1.947310292354279e-110,8.021360000743496e-125,4.2919776291220896e-130,7.681152510188974e-05,0.5585594327069068,6.657385806928597e-104,4.091039708940217e-126,1.5157604415198054e-123,HV,-1
