,avg_nighttime_flow,ks_flow_up,ks_flow_down,ks_flow_ml_up,ks_flow_ml_down,ks_flow_ml,ks_occupancy_up,ks_occupancy_down,ks_occupancy_ml_up,ks_occupancy_ml_down,ks_occupancy_ml,Type,y
774033,4.44,,,,,9.206783150259314e-19,,,,,2.0759331623867817e-17,HV,0
763614,0.12,,0.8863728099526584,,3.7390849302645935e-40,1.5625396373828271e-34,,0.22823192819157445,,3.8703874999769725e-45,5.327908475744656e-44,HV,0
761093,0.36,0.8863728099526584,7.325294280377921e-73,1.1238344263824481e-31,2.185287332053759e-62,4.2915578655425274e-39,0.22823192819157445,1.7604983226936527e-67,4.2915578655425274e-39,2.1745063091407918e-79,4.2915578655425274e-39,HV,0
761098,16.4,7.325294280377921e-73,6.48750144084547e-59,8.926402876821863e-42,4.786653114517815e-34,9.222878034006115e-09,1.7604983226936527e-67,5.364035185661794e-66,1.6149739485228108e-36,3.5876209380595414e-20,0.007668141618886344,HV,1
761102,0.64,6.48750144084547e-59,0.9952074388694081,1.027010718195644e-45,1.1751744523287492e-27,1.475949845555557e-25,5.364035185661794e-66,0.03604044231430257,1.0204802729413189e-77,4.581617798606835e-48,2.869668865604379e-49,HV,0
761105,0.52,0.9952074388694081,5.053167175939877e-35,1.59942577801157e-28,4.118975856424422e-16,9.357404620757031e-31,0.03604044231430257,6.48750144084547e-59,3.0945381872832893e-58,7.006828784570818e-47,3.1254746451778834e-56,HV,0
761112,11.48,5.053167175939877e-35,0.7667067650024223,0.31778103283453074,0.02213087446680441,3.181645828005833e-09,6.48750144084547e-59,0.004326422589915993,0.270329069484192,7.681152510188974e-05,1.5934937884526227e-05,HV,1
737490,19.92,0.7667067650024223,1.550147223214658e-64,5.437178785887903e-09,0.0057802406426275136,0.004326422589915993,0.004326422589915993,1.3666555610256655e-118,5.672737421572143e-14,0.0001615202610968331,0.42876959833128964,HV,1
717641,4.16,1.550147223214658e-64,1.1112747154054147e-13,6.48750144084547e-59,1.4214899107395567e-55,2.3253806034982667e-52,1.3666555610256655e-118,1.3014479285069932e-32,1.157806096907046e-135,1.0898737981738669e-83,1.8492851139729247e-85,HV,1
773155,0.4,1.1112747154054147e-13,0.5585594327069068,3.5876209380595414e-20,2.1012127091701578e-29,1.2263118062588385e-21,1.3014479285069932e-32,0.15915169261452353,5.165007853947324e-22,5.053167175939877e-35,3.670608057778416e-23,HV,0
761115,0.56,0.5585594327069068,0.9998945640423377,9.395122187563397e-17,5.712209738808767e-26,1.4951013308512084e-23,0.15915169261452353,0.22823192819157445,1.59942577801157e-28,5.1374895898660434e-36,8.926402876821863e-42,HV,0
